Company Name,Industry,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change,Date,Daily Change,Performance
Angel One Ltd.,Financial Services,1202.0,1228.0,1185.0,1206.2,1216.05,9.85,230.89795918367346,414524,499671374.84,2022.0,839.05,-,-18.25,2023-01-19 04:48:00.000,848.55,0.6014094955489614
Anupam Rasayan India Ltd.,Chemicals,610.0,626.2,604.6,610.1,620.7,10.60,-48.95769088442087,37228,22843845.36,1107.55,546.75,-19.72,-11.28,2023-01-19 22:16:19.200,-595.3499999999999,0.5604261658615864
APL Apollo Tubes Ltd.,Capital Goods,843.9,855.0,836.0,849.95,845.1,-4.85,36.1527307878202,165325,139906281.25,1114.55,718.08,-47.83,-9.31,2023-01-20 15:44:38.400,224.39999999999998,0.7582432371809251
Alembic Pharmaceuticals Ltd.,Healthcare,727.75,731.6,717.0,728.25,729.9,1.65,-13.631522896698623,63552,46195948.8,1016.7,678.3,-26.01,-0.51,2023-01-21 09:12:57.600,-115.20000000000005,0.717910888167601
Apollo Hospitals Enterprise Ltd.,Healthcare,3680.0,3745.0,3635.2,3683.5,3732.0,48.50,411.30291820797373,316894,1169161399.36,5935.4,3361.55,1.76,-7.43,2023-01-22 02:41:16.800,3002.1,0.6287697543552246
Apollo Tyres Ltd.,Automobile and Auto Components,185.7,190.0,184.3,185.1,188.9,3.80,-94.93837084673098,1276512,238682213.76,250.0,165.25,-17.73,-15.23,2023-01-22 20:09:36.000,-3543.1,0.7556
Aptus Value Housing Finance India Ltd.,Financial Services,276.5,294.7,274.3,281.8,293.65,11.85,55.45262043409209,449163,128519009.19,394.9,220.1,-,-1.38,2023-01-23 13:37:55.200,104.74999999999997,0.7436059761965055
Asahi India Glass Ltd.,Automobile and Auto Components,536.8,549.0,530.25,539.6,548.0,8.40,86.61672058573133,261012,140842075.2,612.9,324.65,60.43,20.85,2023-01-24 07:06:14.400,254.35000000000002,0.8941099689998369
Ashok Leyland Ltd.,Capital Goods,148.0,149.0,144.65,147.8,146.4,-1.40,-73.28467153284672,19976245,2920926543.9,153.5,93.2,20.55,7.49,2023-01-25 00:34:33.600,-401.6,0.9537459283387623
Asian Paints Ltd.,Consumer Durables,2704.9,2780.0,2685.0,2695.2,2769.65,74.45,1791.837431693989,1477191,4055317680.39,3590.0,2560.0,-9.94,-5.75,2023-01-25 18:02:52.800,2623.25,0.7714902506963789
Aster DM Healthcare Ltd.,Healthcare,179.55,179.55,174.3,178.0,176.0,-2.00,-93.6454064592999,92393,16259320.14,237.0,148.4,15.55,-10.84,2023-01-26 11:31:12.000,-2593.65,0.7426160337552743
Astral Ltd.,Capital Goods,1651.0,1664.95,1639.9,1655.5,1657.0,1.50,841.4772727272726,125312,207061789.44,2524.95,1581.55,-16.79,-4.30,2023-01-27 04:59:31.200,1481.0,0.6562506188241352
AstraZenca Pharma India Ltd.,Healthcare,2700.0,2727.0,2664.0,2705.2,2724.0,18.80,64.3934821967411,4613,12434526.02,3675.0,2445.7,-25.09,-10.05,2023-01-27 22:27:50.400,1067.0,0.7412244897959184
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,2392.55,2442.95,2370.0,2392.9,2389.0,-3.90,-12.298091042584435,436503,1045280639.01,2740.0,774.95,-,-0.21,2023-01-28 15:56:09.600,-335.0,0.871897810218978
Atul Ltd.,Chemicals,7988.55,8070.0,7891.0,8030.8,8012.0,-18.80,235.37044788614483,10672,85048369.6,10969.0,7750.0,-10.55,-1.40,2023-01-29 09:24:28.800,5623.0,0.7304220986416264
AU Small Finance Bank Ltd.,Financial Services,586.0,587.3,563.3,591.7,580.0,-11.70,-92.7608587119321,2741511,1574011125.54,732.98,462.5,-42.88,-52.72,2023-01-30 02:52:48.000,-7432.0,0.7912903489863298
